time_s,target_x_m,target_y_m,target_z_m,sensor_x_m,sensor_y_m,sensor_z_m,distance_m,longitudinal_offset_m,lateral_offset_m,observation_depth_m,regime,length_froude_number,depth_froude_number,wave_attenuation,transition_weight,hydrostatic_pressure_pa,body_dynamic_pressure_pa,free_surface_correction_pressure_pa,wave_pressure_pa,seabed_correction_pressure_pa,dynamic_pressure_pa,total_gauge_pressure_pa
0,-102.913468506314,0,-3,0,25,-25,108.167379555946,102.913468506314,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,0.568035443620157,0.718549198451565,0.455935242275484,0.582719742036702,1.86930438410842,251297.275554384
0.1,-102.570423611293,0,-3,0,25,-25,107.841048769937,102.570423611293,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,0.572631904527375,0.723082756918352,0.458472426939425,0.584552348702228,1.88026701014795,251297.28651701
0.2,-102.227378716272,0,-3,0,25,-25,107.514822044219,102.227378716272,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,0.577274046017718,0.727653457261766,0.461028843483221,0.586384159578184,1.89131166285767,251297.297561663
0.3,-101.88433382125,0,-3,0,25,-25,107.188700328906,101.88433382125,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,0.581962366577578,0.732261622652539,0.463604655790974,0.58821493424449,1.90243892347461,251297.308688923
0.4,-101.541288926229,0,-3,0,25,-25,106.862684585406,101.541288926229,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,0.586697369658004,0.736907578058196,0.466200028833387,0.590044425161336,1.91364937287754,251297.319899373
0.5,-101.198244031208,0,-3,0,25,-25,106.53677578658,101.198244031208,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,0.591479563685913,0.741591650200841,0.468815128656119,0.591872377487439,1.92494359137419,251297.331193591
0.6,-100.855199136187,0,-3,0,25,-25,106.210974916908,100.855199136187,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,0.596309462073278,0.74631416751218,0.471450122367109,0.593698528893873,1.93632215847933,251297.342572158
0.7,-100.512154241166,0,-3,0,25,-25,105.885282972659,100.512154241166,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,0.601187583224166,0.751075460085674,0.474105178122839,0.59552260937339,1.94778565268323,251297.354035653
0.8,-100.169109346145,0,-3,0,25,-25,105.559700962062,100.169109346145,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,0.606114450539507,0.75587585962571,0.476780465113467,0.59734434104511,1.95933465121033,251297.365584651
0.9,-99.8260644511242,0,-3,0,25,-25,105.234229905483,99.8260644511242,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,0.611090592419484,0.760715699393658,0.479476153546801,0.5991634379545,1.97096972976764,251297.37721973
1,-99.4830195561031,0,-3,0,25,-25,104.908870835597,99.4830195561031,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,0.616116542263392,0.765595314150686,0.482192414631047,0.600979605868522,1.9826914622826,251297.388941462
1.1,-99.1399746610821,0,-3,0,25,-25,104.583624797575,99.1399746610821,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,0.621192838466851,0.770515040097215,0.484929420556286,0.602792542065837,1.9945004206299,251297.400750421
1.2,-98.7969297660611,0,-3,0,25,-25,104.258492849264,98.7969297660611,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,0.626320024416223,0.775475214808849,0.487687344474626,0.604601935121977,2.00639717434705,251297.412647174
1.3,-98.45388487104,0,-3,0,25,-25,103.933476061373,98.45388487104,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,0.631498648480083,0.780476177168674,0.490466360478956,0.606407464689355,2.01838229033811,251297.42463229
1.4,-98.110839976019,0,-3,0,25,-25,103.608575517666,98.110839976019,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,0.636729263997598,0.785518267295741,0.493266643580264,0.608208801272009,2.03045633256535,251297.436706333
1.5,-97.7677950809979,0,-3,0,25,-25,103.283792315155,97.7677950809979,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,0.642012429263644,0.790601826469608,0.496088369683433,0.610005605994965,2.04261986172822,251297.448869862
1.6,-97.4247501859769,0,-3,0,25,-25,102.959127564291,97.4247501859769,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,0.647348707510509,0.795727197050769,0.498931715561473,0.611797530368092,2.05487343492937,251297.461123435
1.7,-97.0817052909558,0,-3,0,25,-25,102.634582389173,97.0817052909558,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,0.652738666885992,0.800894722396797,0.501796858828097,0.613584216044356,2.06721760532715,251297.473467605
1.8,-96.7386603959348,0,-3,0,25,-25,102.310157927744,96.7386603959348,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,0.658182880427725,0.806104746774057,0.50468397790859,0.61536529457232,2.0796529217741,251297.485902922
1.9,-96.3956155009137,0,-3,0,25,-25,101.985855332002,96.3956155009137,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,0.66368192603353,0.811357615264774,0.507593252008886,0.617140387142793,2.0921799284411,251297.498429928
