time_s,target_x_m,target_y_m,target_z_m,sensor_x_m,sensor_y_m,sensor_z_m,distance_m,longitudinal_offset_m,lateral_offset_m,observation_depth_m,regime,length_froude_number,depth_froude_number,wave_attenuation,transition_weight,hydrostatic_pressure_pa,body_dynamic_pressure_pa,free_surface_correction_pressure_pa,wave_pressure_pa,seabed_correction_pressure_pa,dynamic_pressure_pa,total_gauge_pressure_pa
0,-61.7480811037882,0,-3,0,25,-25,70.1557233588251,61.7480811037882,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.578426592021157,0.475926533829187,0,0.205804389777088,1.26015751562743,251296.666407516
0.1,-61.5422541667755,0,-3,0,25,-25,69.9746314597512,61.5422541667755,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.581386678094896,0.47782512161948,0,0.203789430499957,1.26300123021433,251296.66925123
0.2,-61.3364272297629,0,-3,0,25,-25,69.7936766857285,61.3364272297629,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.584355172116663,0.479721023409553,0,0.201740135544692,1.26581633107091,251296.672066331
0.3,-61.1306002927503,0,-3,0,25,-25,69.612860106104,61.1306002927503,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.587331855486368,0.481613928926032,0,0.199656066418305,1.26860185083071,251296.674851851
0.4,-60.9247733557376,0,-3,0,25,-25,69.4321828005429,60.9247733557376,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.59031650147599,0.483503520072255,0,0.19753678012696,1.27135680167521,251296.677606802
0.5,-60.718946418725,0,-3,0,25,-25,69.2516458591419,60.718946418725,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.593308875023178,0.485389470771359,0,0.195381829160711,1.27408017495525,251296.680330175
0.6,-60.5131194817124,0,-3,0,25,-25,69.0712503825434,60.5131194817124,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.596308732520309,0.487271446806771,0,0.193190761479263,1.27677094080634,251296.683020941
0.7,-60.3072925446998,0,-3,0,25,-25,68.8909974820513,60.3072925446998,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.599315821598902,0.489149105660114,0,0.190963120498796,1.27942804775781,251296.685678048
0.8,-60.1014656076871,0,-3,0,25,-25,68.7108882797479,60.1014656076871,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.602329880909304,0.491022096346458,0,0.188698445079912,1.28205042233567,251296.688300422
0.9,-59.8956386706745,0,-3,0,25,-25,68.5309239086122,59.8956386706745,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.60535063989556,0.492890059246944,0,0.186396269516723,1.28463696865923,251296.690886969
1,-59.6898117336619,0,-3,0,25,-25,68.3511055126397,59.6898117336619,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.608377818565388,0.494752625938714,0,0.184056123527135,1.28718656803124,251296.693436568
1.1,-59.4839847966493,0,-3,0,25,-25,68.171434246963,59.4839847966493,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.611411127255158,0.496609419022158,0,0.181677532244391,1.28969807852171,251296.695948079
1.2,-59.2781578596366,0,-3,0,25,-25,67.9919112779748,59.2781578596366,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.614450266389803,0.498460051945442,0,0.179260016209882,1.29217033454513,251296.698420335
1.3,-59.072330922624,0,-3,0,25,-25,67.8125377834512,59.072330922624,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.617494926237545,0.500304128826311,0,0.176803091367306,1.29460214643116,251296.700852146
1.4,-58.8665039856114,0,-3,0,25,-25,67.633314952677,58.8665039856114,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.620544786659386,0.502141244271124,0,0.174306269058222,1.29699229998873,251296.7032423
1.5,-58.6606770485987,0,-3,0,25,-25,67.4542439865721,58.6606770485987,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.623599516853223,0.503970983191143,0,0.171769056019022,1.29933955606339,251296.705589556
1.6,-58.4548501115861,0,-3,0,25,-25,67.2753260978198,58.4548501115861,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.626658775092541,0.505792920616021,0,0.169190954379401,1.30164265008796,251296.70789265
1.7,-58.2490231745735,0,-3,0,25,-25,67.0965625109961,58.2490231745735,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.629722208459563,0.507606621504503,0,0.166571461662365,1.30390029162643,251296.710150292
1.8,-58.0431962375609,0,-3,0,25,-25,66.9179544627001,58.0431962375609,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.632789452572778,0.50941164055231,0,0.163910070785825,1.30611116391091,251296.712361164
1.9,-57.8373693005482,0,-3,0,25,-25,66.7395032016871,57.8373693005482,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.635860131308739,0.511207521997208,0,0.161206270065847,1.30827392337179,251296.714523923
2,-57.6315423635356,0,-3,0,25,-25,66.5612099890019,57.6315423635356,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.638933856518058,0.512993799421234,0,0.158459543221594,1.31038719916089,251296.716637199
2.1,-57.425715426523,0,-3,0,25,-25,66.383076098114,57.425715426523,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.64201022773549,0.514769995550094,0,0.155669369382034,1.31244959266762,251296.718699593
2.2,-57.2198884895104,0,-3,0,25,-25,66.205102815055,57.2198884895104,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.645088831884006,0.516535622049701,0,0.15283522309446,1.31445967702817,251296.720709677
2.3,-57.0140615524977,0,-3,0,25,-25,66.0272914385559,57.0140615524977,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.64816924297278,0.518290179319872,0,0.14995657433488,1.31641599662753,251296.722665997
2.4,-56.8082346154851,0,-3,0,25,-25,65.8496432801879,56.8082346154851,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.651251021788981,0.520033156285157,0,0.14703288852036,1.3183170665945,251296.724567067
2.5,-56.6024076784725,0,-3,0,25,-25,65.6721596645032,56.6024076784725,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.654333715583274,0.521764030182819,0,0.144063626523341,1.32016137228943,251296.726411372
2.6,-56.3965807414599,0,-3,0,25,-25,65.4948419291779,56.3965807414599,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.657416857748949,0.523482266347959,0,0.141048244688028,1.32194736878494,251296.728197369
2.7,-56.1907538044472,0,-3,0,25,-25,65.3176914251568,56.1907538044472,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.660499967494562,0.525187317995773,0,0.137986194848899,1.32367348033923,251296.72992348
2.8,-55.9849268674346,0,-3,0,25,-25,65.1407095167991,55.9849268674346,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.663582549510025,0.526878626000983,0,0.134876924351404,1.32533809986241,251296.7315881
2.9,-55.779099930422,0,-3,0,25,-25,64.9638975820263,55.779099930422,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.666664093626017,0.528555618674412,0,0.131719876074905,1.32693958837533,251296.733189588
3,-55.5732729934093,0,-3,0,25,-25,64.7872570124712,55.5732729934093,25,25,surface_ship_low_speed,0.06,0.109544511501033,0,0,251295.40625,0.669744074466647,0.530217711536731,0,0.128514488457958,1.32847627446134,251296.734726274
