time_s,target_x_m,target_y_m,target_z_m,sensor_x_m,sensor_y_m,sensor_z_m,distance_m,longitudinal_offset_m,lateral_offset_m,observation_depth_m,regime,length_froude_number,depth_froude_number,wave_attenuation,transition_weight,hydrostatic_pressure_pa,body_dynamic_pressure_pa,free_surface_correction_pressure_pa,wave_pressure_pa,seabed_correction_pressure_pa,dynamic_pressure_pa,total_gauge_pressure_pa
0,-185.244243311364,0,-3,0,25,-25,188.213787167678,185.244243311364,25,25,surface_ship_shallow_subcritical,0.18,0.3286335345031,0,1,251295.40625,0.388122709381406,0.988691251725894,0.988691251725894,0.343489166797427,1.72030312790473,251297.126553128
0.1,-184.626762500327,0,-3,0,25,-25,187.606080475426,184.626762500327,25,25,surface_ship_shallow_subcritical,0.18,0.3286335345031,0,1,251295.40625,0.391781336793073,0.994992333986724,0.994992333986724,0.346453815270375,1.73322748605017,251297.139477486
0.2,-184.009281689289,0,-3,0,25,-25,186.998437821838,184.009281689289,25,25,surface_ship_shallow_subcritical,0.18,0.3286335345031,0,1,251295.40625,0.395485232551941,1.00135270578523,1.00135270578523,0.349450932283256,1.74628887062043,251297.152538871
0.3,-183.391800878251,0,-3,0,25,-25,186.390859833222,183.391800878251,25,25,surface_ship_shallow_subcritical,0.18,0.3286335345031,0,1,251295.40625,0.399235084307596,1.00777309729634,1.00777309729634,0.352480933506946,1.75948911511088,251297.165739115
0.4,-182.774320067213,0,-3,0,25,-25,185.783347144011,182.774320067213,25,25,surface_ship_shallow_subcritical,0.18,0.3286335345031,0,1,251295.40625,0.403031591978723,1.01425424968281,1.01425424968281,0.355544240368745,1.77283008203027,251297.179080082
0.5,-182.156839256175,0,-3,0,25,-25,185.175900396893,182.156839256175,25,25,surface_ship_shallow_subcritical,0.18,0.3286335345031,0,1,251295.40625,0.406875468001784,1.02079691528792,1.02079691528792,0.358641280128382,1.78631366341808,251297.192563663
0.6,-181.539358445137,0,-3,0,25,-25,184.568520242949,181.539358445137,25,25,surface_ship_shallow_subcritical,0.18,0.3286335345031,0,1,251295.40625,0.410767437585241,1.02740185783192,1.02740185783192,0.361772485954596,1.79994178137175,251297.206191781
0.7,-180.921877634099,0,-3,0,25,-25,183.961207341787,180.921877634099,25,25,surface_ship_shallow_subcritical,0.18,0.3286335345031,0,1,251295.40625,0.414708238969483,1.03406985261233,1.03406985261233,0.364938297002264,1.81371638858407,251297.219966389
0.8,-180.304396823061,0,-3,0,25,-25,183.353962361679,180.304396823061,25,25,surface_ship_shallow_subcritical,0.18,0.3286335345031,0,1,251295.40625,0.418698623692579,1.04080168670821,1.04080168670821,0.368139158490049,1.82763946889084,251297.233889469
0.9,-179.686916012024,0,-3,0,25,-25,182.746785979705,179.686916012024,25,25,surface_ship_shallow_subcritical,0.18,0.3286335345031,0,1,251295.40625,0.422739356862007,1.04759815918847,1.04759815918847,0.371375521778555,1.84171303782903,251297.247963038
